date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:02	89501/89501	---MCZ	200	added ('OK')	text/javascript	etag:W/%226215f29a-15d9d%22	http://ogs-seminar.narod.ru/.s/src/jquery-3.6.0.min.js	ogs-seminar.narod.ru/.s/src/jquery-3.6.0.min.js	(from http://ogs-seminar.narod.ru/gb)
17:15:03	2488/2488	---MCZ	200	added ('OK')	text/css	etag:W/%2261a758f3-9b8%22	http://ogs-seminar.narod.ru/.s/src/social.css	ogs-seminar.narod.ru/.s/src/social.css	(from http://ogs-seminar.narod.ru/gb)
17:15:05	2302/2302	---M--	200	added ('OK')	image/gif	etag:%22597f0727-8fe%22	http://ogs-seminar.narod.ru/.s/img/fr/EmnAjax.gif	ogs-seminar.narod.ru/.s/img/fr/EmnAjax.gif	(from http://ogs-seminar.narod.ru/gb)
17:15:05	22291/22291	---MCZ	200	added ('OK')	text/javascript	etag:W/%225ece7619-5713%22	http://ogs-seminar.narod.ru/.s/src/ulightbox/ulightbox.min.js	ogs-seminar.narod.ru/.s/src/ulightbox/ulightbox.min.js	(from http://ogs-seminar.narod.ru/gb)
17:15:07	47385/47385	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Sep%202014%2015:14:35%20GMT	http://ogs-seminar.narod.ru/gb/2	ogs-seminar.narod.ru/gb/2.html	(from http://ogs-seminar.narod.ru/gb)
17:15:07	209739/209739	---MCZ	200	added ('OK')	text/javascript	etag:W/%22626678ba-3334b%22	http://ogs-seminar.narod.ru/.s/src/uwnd.min.js	ogs-seminar.narod.ru/.s/src/uwnd.min.js	(from http://ogs-seminar.narod.ru/gb)
17:15:07	44734/44734	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Sep%202014%2015:14:35%20GMT	http://ogs-seminar.narod.ru/gb/3	ogs-seminar.narod.ru/gb/3.html	(from http://ogs-seminar.narod.ru/gb)
17:15:09	41442/41442	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Sep%202014%2015:14:35%20GMT	http://ogs-seminar.narod.ru/gb/4	ogs-seminar.narod.ru/gb/4.html	(from http://ogs-seminar.narod.ru/gb)
17:15:09	41909/41909	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Sep%202014%2015:14:35%20GMT	http://ogs-seminar.narod.ru/gb/5	ogs-seminar.narod.ru/gb/5.html	(from http://ogs-seminar.narod.ru/gb)
17:15:09	35838/35838	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Sep%202014%2015:14:35%20GMT	http://ogs-seminar.narod.ru/gb/6	ogs-seminar.narod.ru/gb/6.html	(from http://ogs-seminar.narod.ru/gb)
17:15:11	27968/27968	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2014:12:28%20GMT	http://ogs-seminar.narod.ru/register	ogs-seminar.narod.ru/register.html	(from http://ogs-seminar.narod.ru/gb)
17:15:14	40053/40053	---M--	200	added ('OK')	application/javascript	etag:%22628271ef-9c75%22	http://ogs-seminar.narod.ru/BkkMMA/v7ZSbc/6EX?OMmDNfj57WSA4Ign%21HbY6ZFqPqn%3BHhFJckzZ%5EHTqWtTzU%2133H720bPUOhNJFLpiyR8tRveG5A5E%5ETsbrQUvVh%3Boo	ogs-seminar.narod.ru/BkkMMA/v7ZSbc/6EX21f6	(from http://ogs-seminar.narod.ru/psem.htm)
17:15:20	40053/40053	---M--	200	added ('OK')	application/javascript	etag:%22628271ef-9c75%22	http://ogs-seminar.narod.ru/qEK?hrp%3BQYdu3G8%3BgcI2zj9%214dW03zLeFrAVEi1m1DT7isdOJeg9dQLJpkEJ84s7bscskwIG%21w0kTt736RYYRMwo	ogs-seminar.narod.ru/qEK0589	(from http://ogs-seminar.narod.ru/materials.htm)
17:15:35	124845/124845	---M--	200	added ('OK')	application/pdf	etag:%22515d2b8a-1e7ad%22	http://ogs-seminar.narod.ru/materials/Doklady425_5_09SmolyanovLO.pdf	ogs-seminar.narod.ru/materials/Doklady425_5_09SmolyanovLO.pdf	(from http://ogs-seminar.narod.ru/materials.htm)
17:15:39	6869/6869	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22611e66ac-1ad5%22	http://ogs-seminar.narod.ru/Doklady404_2_05VolovichTrushechkin.pdf	ogs-seminar.narod.ru/Doklady404_2_05VolovichTrushechkin.25.delayed	(from http://ogs-seminar.narod.ru/materials.htm)
17:15:41	134776/134776	---M--	200	added ('OK')	application/pdf	etag:%22515d2b8a-20e78%22	http://ogs-seminar.narod.ru/materials/Doklady420_1_08SmolyanovShamarov.pdf	ogs-seminar.narod.ru/materials/Doklady420_1_08SmolyanovShamarov.pdf	(from http://ogs-seminar.narod.ru/materials.htm)
17:16:05	232626/232626	---M--	200	added ('OK')	application/pdf	etag:%22515d2b8a-38cb2%22	http://ogs-seminar.narod.ru/materials/Trushechkin-autoref.pdf	ogs-seminar.narod.ru/materials/Trushechkin-autoref.pdf	(from http://ogs-seminar.narod.ru/materials.htm)
17:16:23	6869/6869	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22611e66ac-1ad5%22	http://ogs-seminar.narod.ru/materials/Sakbaev_TrudiMFTI_2009_01_04.PDF	ogs-seminar.narod.ru/materials/Sakbaev_TrudiMFTI_2009_01_04.2c.delayed	(from http://ogs-seminar.narod.ru/materials.htm)
17:16:54	83839/83839	---M--	200	added ('OK')	application/pdf	etag:%22515d2b8c-1477f%22	http://ogs-seminar.narod.ru/materials/Doklady393_4_BikchentaevLO.pdf	ogs-seminar.narod.ru/materials/Doklady393_4_BikchentaevLO.pdf	(from http://ogs-seminar.narod.ru/materials.htm)
17:17:01	31325/31325	---M--	200	added ('OK')	application/pdf	etag:%22515d2b8a-7a5d%22	http://ogs-seminar.narod.ru/materials/Perestanovka_differ_i_obraza.pdf	ogs-seminar.narod.ru/materials/Perestanovka_differ_i_obraza.pdf	(from http://ogs-seminar.narod.ru/materials.htm)
17:17:05	102683/102683	---M--	200	added ('OK')	application/pdf	etag:%22515d2b8a-1911b%22	http://ogs-seminar.narod.ru/materials/BikchentaevTikhonovJIPAM2005.pdf	ogs-seminar.narod.ru/materials/BikchentaevTikhonovJIPAM2005.pdf	(from http://ogs-seminar.narod.ru/materials.htm)
17:17:10	108144/108144	---M--	200	added ('OK')	application/pdf	etag:%22515d2b8c-1a670%22	http://ogs-seminar.narod.ru/materials/BikchentaevTikhonovLAA2006.pdf	ogs-seminar.narod.ru/materials/BikchentaevTikhonovLAA2006.pdf	(from http://ogs-seminar.narod.ru/materials.htm)
17:17:11	40053/40053	---M--	200	added ('OK')	application/javascript	etag:%22628271ef-9c75%22	http://ogs-seminar.narod.ru/B8G?%5EVIGMB5SM2uRxF79HMRFveB6tdv2kH%21yLzxtXpfvKQQiz9aE1TZVUTS4jen%212Nw2kSgkyjkYt8qSsRykVZif	ogs-seminar.narod.ru/B8G9fd7	(from http://ogs-seminar.narod.ru/people.htm)
17:17:13	42862/42862	---M--	200	added ('OK')	image/jpeg	etag:%22515d2b8c-a76e%22	http://ogs-seminar.narod.ru/photos/smolyanov.jpg	ogs-seminar.narod.ru/photos/smolyanov.jpg	(from http://ogs-seminar.narod.ru/people.htm)
17:17:15	10511/10511	---M--	200	added ('OK')	image/jpeg	etag:%22515d2b90-290f%22	http://ogs-seminar.narod.ru/photos/smolyanov_edited.jpg	ogs-seminar.narod.ru/photos/smolyanov_edited.jpg	(from http://ogs-seminar.narod.ru/people.htm)
17:17:24	40980/40980	---M--	200	added ('OK')	image/jpeg	etag:%22515d2b8e-a014%22	http://ogs-seminar.narod.ru/photos/strekalov_small.jpg	ogs-seminar.narod.ru/photos/strekalov_small.jpg	(from http://ogs-seminar.narod.ru/people.htm)
17:17:27	7643/7643	---M--	200	added ('OK')	image/jpeg	etag:%22515d2b8c-1ddb%22	http://ogs-seminar.narod.ru/photos/ivremizov_small.JPG	ogs-seminar.narod.ru/photos/ivremizov_small.jpg	(from http://ogs-seminar.narod.ru/people.htm)
17:17:33	85175/85175	---M--	200	added ('OK')	image/jpeg	etag:%22515d2b90-14cb7%22	http://ogs-seminar.narod.ru/photos/ivremizov.JPG	ogs-seminar.narod.ru/photos/ivremizov.jpg	(from http://ogs-seminar.narod.ru/people.htm)
17:17:42	45312/45312	---M--	200	added ('OK')	image/jpeg	etag:%22515d2b8c-b100%22	http://ogs-seminar.narod.ru/photos/starodubov_small.jpg	ogs-seminar.narod.ru/photos/starodubov_small.jpg	(from http://ogs-seminar.narod.ru/people.htm)
17:17:53	47650/47650	---M--	200	added ('OK')	image/jpeg	etag:%22515d2b90-ba22%22	http://ogs-seminar.narod.ru/photos/lelyavin_small.jpg	ogs-seminar.narod.ru/photos/lelyavin_small.jpg	(from http://ogs-seminar.narod.ru/people.htm)
17:18:04	46782/46782	---M--	200	added ('OK')	image/jpeg	etag:%22515d2b8e-b6be%22	http://ogs-seminar.narod.ru/photos/vasilieva_small.jpg	ogs-seminar.narod.ru/photos/vasilieva_small.jpg	(from http://ogs-seminar.narod.ru/people.htm)
